names,starttime,endtime
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHE__20200509T064849Z__20200510T000000Z.mseed,1589006929.15,1589068800.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHE__20200510T000000Z__20200511T000000Z.mseed,1589068800.0,1589155200.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHE__20200511T000000Z__20200511T011304Z.mseed,1589155200.0,1589159584.22
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHN__20200509T064849Z__20200510T000000Z.mseed,1589006931.04,1589068800.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHN__20200510T000000Z__20200511T000000Z.mseed,1589068800.0,1589155200.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHN__20200511T000000Z__20200511T011304Z.mseed,1589155200.0,1589159584.22
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHZ__20200509T064849Z__20200510T000000Z.mseed,1589006929.15,1589068800.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHZ__20200510T000000Z__20200511T000000Z.mseed,1589068800.0,1589155200.0
/home/sjh2019/Documents/Work_Junhao/Anninghe_Array/local_eqs_detection/workflows/LOC-FLOW/eqt-real-hypoinv/Data/GS030/GS.GS030.BHZ__20200511T000000Z__20200511T011304Z.mseed,1589155200.0,1589159584.22
